"PName","POS","Team","GP","FG%","3P%","FT%","+/-","PPG","RPG","APG","TPG","SPG","BPG"
"Moses Brown","C","BKN",36,63.5,0,45.8,27,4.3,3.9,0.1,0.4,0.1,0.4
"AJ Green","G","MIL",35,42.4,41.9,100,-26,4.4,1.3,0.6,0.3,0.2,0
"Bruno Fernando","PF","ATL",39,52.7,0,70,-75,3.9,3.5,0.8,0.6,0.2,0.9
"Derrick Rose","PG","NYK",27,38.4,30.2,91.7,-29,5.6,1.5,1.7,0.8,0.3,0.2
"Saben Lee","G","PHX",25,40.5,36.7,73.7,-30,6,1.8,2.7,1,0.8,0
"TyTy Washington Jr.","G","HOU",31,36.3,23.8,55.6,-47,4.7,1.5,1.5,0.5,0.5,0.1
"Brandon Boston Jr.","SG","LAC",22,41.8,41.4,76.3,-44,6.5,1.4,0.9,0.5,0.4,0
"Dalano Banton","PG","TOR",31,42.3,29.4,70.8,-34,4.6,1.5,1.2,0.6,0.4,0.4
"Damian Jones","C","UTA",41,64,58.8,75.9,-83,3.5,3,0.4,0.6,0.2,0.5
"Kevon Harris","G","ORL",34,43.9,37.2,75.6,0,4.1,2.1,0.5,0.6,0.5,0.1
"Furkan Korkmaz","SG","PHI",37,43.2,39.1,72.2,2,3.8,1.1,0.6,0.6,0.3,0.1
"Nathan Knight","F","MIN",38,56.8,36.4,68.4,-9,3.7,1.5,0.3,0.6,0.3,0.2
"Frank Ntilikina","PG","DAL",47,36.4,25.4,66.7,35,2.9,1.3,1.2,0.6,0.3,0.1
"Markieff Morris","PF","DAL",35,40.9,39.4,100,10,3.8,2,0.9,0.5,0.3,0.1
"Richaun Holmes","F","SAC",42,61.8,62.5,78.9,-69,3.1,1.9,0.2,0.3,0.1,0.3
"Chuma Okeke","PF","ORL",27,35.2,30.2,76.2,-118,4.7,3.6,1.4,0.6,0.7,0.4
"Max Christie","G","LAL",41,41.5,41.9,87.5,-77,3.1,1.8,0.5,0.3,0.2,0.2
"Udoka Azubuike","C","UTA",36,81.9,0,35,-83,3.5,3.3,0.3,0.5,0.2,0.4
"Jae Crowder","PF","MIL",18,47.9,43.6,83.3,0,6.9,3.8,1.5,0.4,0.7,0.3
"Juancho Hernangomez","PF","TOR",42,42.1,25.4,56.3,13,2.9,2.9,0.6,0.4,0.4,0.1
"Matt Ryan","F","MIN",34,37,38.1,83.3,21,3.6,0.8,0.5,0.2,0.1,0
"Patrick Baldwin Jr.","F","GSW",31,39.4,38.1,66.7,-51,3.9,1.3,0.4,0.4,0.2,0.1
"Gorgui Dieng","C","SAS",31,38.5,28,76.9,-152,3.9,3.5,1.7,1,0.1,0.5
"Kenneth Lofton Jr.","F","MEM",24,52.7,35.3,59.3,-48,5,2.1,0.8,0.5,0.2,0.1
"Orlando Robinson","C","MIA",31,52.8,0,71,27,3.7,4.1,0.8,0.5,0.4,0.4
"Kira Lewis Jr.","PG","NOP",25,45.5,44.1,86.4,62,4.6,1.3,0.9,0.4,0.4,0.1
