"PLAYER_NAME","PLAYER_HEIGHT_INCHES","PLAYER_WEIGHT","COLLEGE","COUNTRY","DRAFT_YEAR","DRAFT_ROUND","DRAFT_NUMBER","POS","Team","GP","FG%","3P%","FT%","+/-","PPG","RPG","APG","TPG","SPG","BPG"
"Moses Moody",77,211,"Arkansas","USA","2021","1","14","SG","GSW",63,47.6,36.3,69.8,-7,4.8,1.7,0.8,0.5,0.3,0.1
"Myles Turner",83,250,"Texas","USA","2015","1","11","C","IND",62,54.8,37.3,78.3,-47,18,7.5,1.4,1.7,0.6,2.3
"Naji Marshall",79,220,"Xavier","USA","Undrafted","Undrafted","Undrafted","SF","NOP",77,43.3,30.3,78.9,6,9.1,3.6,2.5,1.3,0.7,0.2
"Nassir Little",77,220,"North Carolina","USA","2019","1","25","SF","POR",54,44.2,36.7,71.7,-190,6.6,2.6,0.9,0.7,0.4,0.4
"Nathan Knight",80,253,"William & Mary","USA","Undrafted","Undrafted","Undrafted","F","MIN",38,56.8,36.4,68.4,-9,3.7,1.5,0.3,0.6,0.3,0.2
"Naz Reid",81,264,"Louisiana State","USA","Undrafted","Undrafted","Undrafted","C","MIN",68,53.7,34.6,67.7,-128,11.5,4.9,1.1,1.4,0.6,0.8
"Neemias Queta",84,248,"Utah State","Portugal","2021","2","39","C","SAC",5,66.7,0,0,-30,2.4,2.2,0.2,0.2,0,0.4
"Nerlens Noel",82,220,"Kentucky","USA","2013","1","6","C","BKN",17,36.1,50,66.7,-75,2.1,2.7,0.6,0.8,0.9,0.6
"Nic Claxton",83,215,"Georgia","USA","2019","2","31","C","BKN",76,70.5,0,54.1,119,12.6,9.2,1.9,1.3,0.9,2.5
"Nick Richards",84,245,"Kentucky","Jamaica","2020","2","42","C","CHA",65,62.9,100,74.9,-113,8.2,6.4,0.6,0.9,0.2,1.1
"Nickeil Alexander-Walker",77,205,"Virginia Tech","Canada","2019","1","17","SG","MIN",59,44.4,38.4,66.7,-51,6.2,1.7,1.8,0.9,0.5,0.4
"Nicolas Batum",80,230,"None","France","2008","1","25","PF","LAC",78,42,39.1,70.8,165,6.1,3.8,1.6,0.6,0.7,0.6
"Noah Vonleh",82,257,"Indiana","USA","2014","1","9","PF","BOS",23,45.8,25,100,-13,1.1,2.1,0.3,0.5,0.1,0.3
"Norman Powell",76,215,"UCLA","USA","2015","2","46","G","LAC",60,47.9,39.7,81.2,-124,17,2.9,1.8,1.7,0.8,0.3
"Obi Toppin",81,220,"Dayton","USA","2020","1","8","PF","NYK",67,44.6,34.4,80.9,57,7.4,2.8,1,0.6,0.3,0.2
"Ochai Agbaji",77,215,"Kansas","USA","2022","1","14","G","UTA",59,42.7,35.5,81.2,-19,7.9,2.1,1.1,0.7,0.3,0.3
"Olivier Sarr",83,240,"Kentucky","France","Undrafted","Undrafted","Undrafted","C","OKC",9,50,12.5,71.4,14,4,3.4,0.4,0.4,0.1,0.6
"Omer Yurtseven",83,275,"Georgetown","Turkey","Undrafted","Undrafted","Undrafted","C","MIA",9,59.3,42.9,83.3,10,4.4,2.6,0.2,0.4,0.2,0.2
"Onyeka Okongwu",81,240,"Southern California","USA","2020","1","6","PF","ATL",80,63.8,30.8,78.1,63,9.9,7.2,1,1,0.7,1.3
"Orlando Robinson",82,235,"Fresno State","USA","Undrafted","Undrafted","Undrafted","C","MIA",31,52.8,0,71,27,3.7,4.1,0.8,0.5,0.4,0.4
"Oshae Brissett",79,210,"Syracuse","Canada","Undrafted","Undrafted","Undrafted","SF","IND",65,38.6,31,71.7,22,6.1,3.4,0.7,0.5,0.5,0.2
"Otto Porter Jr.",80,198,"Georgetown","USA","2013","1","3","SF","TOR",8,50,35.3,100,-21,5.5,2.4,1,0.5,1.4,0
"Ousmane Dieng",81,185,"None","France","2022","1","11","F","OKC",39,42,26.5,65.2,39,4.9,2.7,1.2,0.7,0.4,0.2
"P.J. Tucker",77,245,"Texas","USA","2006","2","35","PF","PHI",75,42.7,39.3,82.6,135,3.5,3.9,0.8,0.6,0.5,0.2
"P.J. Washington",79,230,"Kentucky","USA","2019","1","12","PF","CHA",73,44.4,34.8,73,-375,15.7,4.9,2.4,1.5,0.9,1.1
"Paolo Banchero",82,250,"Duke","USA","2022","1","1","PF","ORL",72,42.7,29.8,73.8,-215,20,6.9,3.7,2.8,0.8,0.5
